src,dst,weight
화,샌박전대,0.44619089365005493
화,사랑의 콜센타,0.4436548054218292
화,SCP,0.4414864480495453
화,어몽어스 VR좀비,0.4376918375492096
화,전편,0.4357776939868927
화,명자!,0.4331922233104706
화,펫,0.41988176107406616
화,비밀의숲,0.4180448651313782
210,방송,0.6617365479469299
210,609,0.6332287788391113
210,403,0.6272001266479492
210,319,0.6183815002441406
210,MBC,0.6149682998657227
210,618,0.608793318271637
210,321,0.608638346195221
210,524,0.6074811816215515
210,619,0.6074082851409912
210,612,0.6064698100090027
내,주제,0.396895170211792
내,원해,0.3774310350418091
내,지선 ASMR,0.37389883399009705
내,인류,0.3421657383441925
내,맘,0.34126004576683044
내,어떡해,0.3375256657600403
내,여사,0.3301430940628052
내,동상이몽2,0.3299725651741028
내,홍진,0.3287217915058136
내,직지,0.326381117105484
었,초토화,0.39759400486946106
었,내성적,0.38652288913726807
었,맹견,0.38494884967803955
었,김태리,0.38213014602661133
었,조선,0.3816815912723541
었,허물,0.37351787090301514
었,움직여,0.36451399326324463
었,닭가슴살,0.3630545139312744
었,하천,0.3594498038291931
었,별의 별,0.3592139184474945
먹방,왕새우,0.5350872278213501
먹방,점보,0.5160157680511475
먹방,imp,0.5111339092254639
먹방,shr,0.5107552409172058
먹방,POR,0.5062558650970459
먹방,조셉,0.5036138892173767
먹방,청양고추,0.49099504947662354
